ディレクトリID,U1,U2,U3,U4,U5,genre
500132,CD・DVD,CD,サウンドトラック,ミュージカル,,CD・DVD > CD > サウンドトラック > ミュージカル
508097,CD・DVD,CD,サウンドトラック,邦画,,CD・DVD > CD > サウンドトラック > 邦画
508108,CD・DVD,CD,サウンドトラック,洋画,,CD・DVD > CD > サウンドトラック > 洋画
500060,CD・DVD,CD,ジャズ,オムニバス,,CD・DVD > CD > ジャズ > オムニバス
500001,CD・DVD,CD,ジャズ,スイング・ビッグバンド,,CD・DVD > CD > ジャズ > スイング・ビッグバンド
500061,CD・DVD,CD,ジャズ,その他,,CD・DVD > CD > ジャズ > その他
500003,CD・DVD,CD,ジャズ,フュージョン,,CD・DVD > CD > ジャズ > フュージョン
500002,CD・DVD,CD,ジャズ,フリージャズ,,CD・DVD > CD > ジャズ > フリージャズ
500031,CD・DVD,CD,ジャズ,ボーカル,,CD・DVD > CD > ジャズ > ボーカル
300295,CD・DVD,CD,ジャズ,モダン,,CD・DVD > CD > ジャズ > モダン
200191,CD・DVD,CD,その他,,,CD・DVD > CD > その他
406217,CD・DVD,CD,ワールドミュージック,アイリッシュ（ケルト）,,CD・DVD > CD > ワールドミュージック > アイリッシュ（ケルト）
406218,CD・DVD,CD,ワールドミュージック,アフリカ,,CD・DVD > CD > ワールドミュージック > アフリカ
406219,CD・DVD,CD,ワールドミュージック,アルゼンチン（タンゴ）,,CD・DVD > CD > ワールドミュージック > アルゼンチン（タンゴ）
406220,CD・DVD,CD,ワールドミュージック,インド,,CD・DVD > CD > ワールドミュージック > インド
406222,CD・DVD,CD,ワールドミュージック,キューバ,,CD・DVD > CD > ワールドミュージック > キューバ
101325,CD・DVD,CD,ワールドミュージック,ジャマイカ（レゲエ等）,,CD・DVD > CD > ワールドミュージック > ジャマイカ（レゲエ等）
406223,CD・DVD,CD,ワールドミュージック,スペイン（フラメンコ）,,CD・DVD > CD > ワールドミュージック > スペイン（フラメンコ）
101314,CD・DVD,CD,ワールドミュージック,その他,,CD・DVD > CD > ワールドミュージック > その他
406225,CD・DVD,CD,ワールドミュージック,バリ,,CD・DVD > CD > ワールドミュージック > バリ
406226,CD・DVD,CD,ワールドミュージック,ハワイ,,CD・DVD > CD > ワールドミュージック > ハワイ
406227,CD・DVD,CD,ワールドミュージック,ブラジル（ボサ・ノヴァ等）,,CD・DVD > CD > ワールドミュージック > ブラジル（ボサ・ノヴァ等）
406228,CD・DVD,CD,ワールドミュージック,フランス,,CD・DVD > CD > ワールドミュージック > フランス
406224,CD・DVD,CD,ワールドミュージック,中国,,CD・DVD > CD > ワールドミュージック > 中国
508121,CD・DVD,CD,演歌・純邦楽・落語,その他,,CD・DVD > CD > 演歌・純邦楽・落語 > その他
300122,CD・DVD,CD,演歌・純邦楽・落語,演歌,,CD・DVD > CD > 演歌・純邦楽・落語 > 演歌
406036,CD・DVD,CD,演歌・純邦楽・落語,演劇,,CD・DVD > CD > 演歌・純邦楽・落語 > 演劇
205898,CD・DVD,CD,演歌・純邦楽・落語,伝統音楽・芸能,その他,CD・DVD > CD > 演歌・純邦楽・落語 > 伝統音楽・芸能 > その他
300323,CD・DVD,CD,演歌・純邦楽・落語,伝統音楽・芸能,純邦楽,CD・DVD > CD > 演歌・純邦楽・落語 > 伝統音楽・芸能 > 純邦楽
300324,CD・DVD,CD,演歌・純邦楽・落語,伝統音楽・芸能,伝統芸能,CD・DVD > CD > 演歌・純邦楽・落語 > 伝統音楽・芸能 > 伝統芸能
300326,CD・DVD,CD,演歌・純邦楽・落語,伝統音楽・芸能,民謡・講談・浪曲,CD・DVD > CD > 演歌・純邦楽・落語 > 伝統音楽・芸能 > 民謡・講談・浪曲
300325,CD・DVD,CD,演歌・純邦楽・落語,伝統音楽・芸能,落語・漫才,CD・DVD > CD > 演歌・純邦楽・落語 > 伝統音楽・芸能 > 落語・漫才
508120,CD・DVD,CD,演歌・純邦楽・落語,落語,,CD・DVD > CD > 演歌・純邦楽・落語 > 落語
553676,CD・DVD,CD,韓国（K-POP）・アジア,,,CD・DVD > CD > 韓国（K-POP）・アジア
300045,CD・DVD,CD,邦楽,R&B・ディスコ,,CD・DVD > CD > 邦楽 > R&B・ディスコ
300089,CD・DVD,CD,邦楽,アイドル,,CD・DVD > CD > 邦楽 > アイドル
300034,CD・DVD,CD,邦楽,インディーズ,,CD・DVD > CD > 邦楽 > インディーズ
200540,CD・DVD,CD,邦楽,オムニバス,,CD・DVD > CD > 邦楽 > オムニバス
300056,CD・DVD,CD,邦楽,ジャズ・ブルース・ルーツ,,CD・DVD > CD > 邦楽 > ジャズ・ブルース・ルーツ
200542,CD・DVD,CD,邦楽,その他,,CD・DVD > CD > 邦楽 > その他
406012,CD・DVD,CD,邦楽,ダンス&ソウル,,CD・DVD > CD > 邦楽 > ダンス&ソウル
300078,CD・DVD,CD,邦楽,テクノ・リミックス・ハウス,,CD・DVD > CD > 邦楽 > テクノ・リミックス・ハウス
406001,CD・DVD,CD,邦楽,パンク・ハードコア,,CD・DVD > CD > 邦楽 > パンク・ハードコア
406023,CD・DVD,CD,邦楽,フォーク・ニューミュージック,,CD・DVD > CD > 邦楽 > フォーク・ニューミュージック
300022,CD・DVD,CD,邦楽,ヘビーメタル・ハードロック,,CD・DVD > CD > 邦楽 > ヘビーメタル・ハードロック
300067,CD・DVD,CD,邦楽,ラップ・ヒップホップ,,CD・DVD > CD > 邦楽 > ラップ・ヒップホップ
300011,CD・DVD,CD,邦楽,ロック・ポップス,,CD・DVD > CD > 邦楽 > ロック・ポップス
300268,CD・DVD,CD,洋楽,R&B・ディスコ,,CD・DVD > CD > 洋楽 > R&B・ディスコ
300241,CD・DVD,CD,洋楽,インディーズ,,CD・DVD > CD > 洋楽 > インディーズ
200545,CD・DVD,CD,洋楽,オムニバス,,CD・DVD > CD > 洋楽 > オムニバス
300214,CD・DVD,CD,洋楽,オルタナティブ・パンク,,CD・DVD > CD > 洋楽 > オルタナティブ・パンク
205895,CD・DVD,CD,洋楽,ゴスペル,,CD・DVD > CD > 洋楽 > ゴスペル
200546,CD・DVD,CD,洋楽,その他,,CD・DVD > CD > 洋楽 > その他
406124,CD・DVD,CD,洋楽,ダンス&ソウル,,CD・DVD > CD > 洋楽 > ダンス&ソウル
406069,CD・DVD,CD,洋楽,テクノ・リミックス・ハウス,,CD・DVD > CD > 洋楽 > テクノ・リミックス・ハウス
406097,CD・DVD,CD,洋楽,トランス・ユーロビート,,CD・DVD > CD > 洋楽 > トランス・ユーロビート
406151,CD・DVD,CD,洋楽,フォーク・カントリー,,CD・DVD > CD > 洋楽 > フォーク・カントリー
406178,CD・DVD,CD,洋楽,ブルース,,CD・DVD > CD > 洋楽 > ブルース
300187,CD・DVD,CD,洋楽,ヘビーメタル・ハードロック,,CD・DVD > CD > 洋楽 > ヘビーメタル・ハードロック
406042,CD・DVD,CD,洋楽,ラップ・ヒップホップ,,CD・DVD > CD > 洋楽 > ラップ・ヒップホップ
300160,CD・DVD,CD,洋楽,ロック・ポップス,,CD・DVD > CD > 洋楽 > ロック・ポップス
567551,CD・DVD,CD,朗読・ドラマ,,,CD・DVD > CD > 朗読・ドラマ
563993,CD・DVD,DVD,TVドキュメンタリー,スポーツ,,CD・DVD > DVD > TVドキュメンタリー > スポーツ
508077,CD・DVD,DVD,TVドキュメンタリー,その他,,CD・DVD > DVD > TVドキュメンタリー > その他
563997,CD・DVD,DVD,TVドキュメンタリー,タレント,,CD・DVD > DVD > TVドキュメンタリー > タレント
563995,CD・DVD,DVD,TVドキュメンタリー,宇宙・科学,,CD・DVD > DVD > TVドキュメンタリー > 宇宙・科学
563992,CD・DVD,DVD,TVドキュメンタリー,宗教,,CD・DVD > DVD > TVドキュメンタリー > 宗教
563990,CD・DVD,DVD,TVドキュメンタリー,動物・人体・自然,,CD・DVD > DVD > TVドキュメンタリー > 動物・人体・自然
563996,CD・DVD,DVD,TVドキュメンタリー,旅・紀行,,CD・DVD > DVD > TVドキュメンタリー > 旅・紀行
563989,CD・DVD,DVD,TVドキュメンタリー,歴史・地理,,CD・DVD > DVD > TVドキュメンタリー > 歴史・地理
553473,CD・DVD,DVD,TVドラマ,アジア・韓国,アクション,CD・DVD > DVD > TVドラマ > アジア・韓国 > アクション
553478,CD・DVD,DVD,TVドラマ,アジア・韓国,コメディー,CD・DVD > DVD > TVドラマ > アジア・韓国 > コメディー
553477,CD・DVD,DVD,TVドラマ,アジア・韓国,サスペンス・ミステリー,CD・DVD > DVD > TVドラマ > アジア・韓国 > サスペンス・ミステリー
508024,CD・DVD,DVD,TVドラマ,アジア・韓国,その他,CD・DVD > DVD > TVドラマ > アジア・韓国 > その他
553475,CD・DVD,DVD,TVドラマ,アジア・韓国,ヒューマン,CD・DVD > DVD > TVドラマ > アジア・韓国 > ヒューマン
553476,CD・DVD,DVD,TVドラマ,アジア・韓国,ロマンス・ラブストーリー,CD・DVD > DVD > TVドラマ > アジア・韓国 > ロマンス・ラブストーリー
553472,CD・DVD,DVD,TVドラマ,アジア・韓国,韓国,CD・DVD > DVD > TVドラマ > アジア・韓国 > 韓国
553474,CD・DVD,DVD,TVドラマ,アジア・韓国,史劇,CD・DVD > DVD > TVドラマ > アジア・韓国 > 史劇
304900,CD・DVD,DVD,TVドラマ,その他,,CD・DVD > DVD > TVドラマ > その他
400027,CD・DVD,DVD,TVドラマ,海外,アクション,CD・DVD > DVD > TVドラマ > 海外 > アクション
508021,CD・DVD,DVD,TVドラマ,海外,コメディー,CD・DVD > DVD > TVドラマ > 海外 > コメディー
400028,CD・DVD,DVD,TVドラマ,海外,サスペンス・ミステリー,CD・DVD > DVD > TVドラマ > 海外 > サスペンス・ミステリー
101356,CD・DVD,DVD,TVドラマ,海外,その他,CD・DVD > DVD > TVドラマ > 海外 > その他
400030,CD・DVD,DVD,TVドラマ,海外,ヒューマン,CD・DVD > DVD > TVドラマ > 海外 > ヒューマン
